Generations, Loop, Times (miliseconds), Answer
25,21226527,220,2066
50,22406476,395,2066
75,24111249,569,2066
100,26336755,757,2066
125,28974514,887,2060
150,32150574,1105,2066
175,35802037,1251,2066
200,40020282,1418,2066
225,44719259,1556,2051
250,49900074,1765,2066
275,55576453,1950,2066
