Generations, Loop, Times (miliseconds), Answer
500,24131156400,29439,6387
1500,24580729643,93676,6801
2500,25330120472,159033,6763
3500,26379289411,222320,6729
4500,27728361781,286483,6740
5500,29377222121,349691,6763
6500,31325863437,413701,6723
7500,33574297341,478164,6731
8500,36122623643,541255,6770
9500,38970832744,605096,6734
10500,42118755682,670448,6773
