Generations, Loop, Times (miliseconds), Answer
25,12425949,47,1545
50,12682168,95,1543
75,13058551,140,1541
100,13567284,185,1545
125,14208702,234,1545
150,14965237,285,1545
175,15838457,324,1545
200,16835522,379,1543
225,17959977,422,1545
250,19212196,463,1545
275,20583298,522,1545
