Generations, Loop, Times (miliseconds), Answer
25,4962778,44,1511
50,5202079,85,1511
75,5544518,123,1511
100,6005974,158,1509
125,6579372,202,1511
150,7259434,235,1509
175,8047179,278,1511
200,8944557,320,1509
225,9957687,362,1511
250,11065660,387,1511
275,12295596,427,1509
