Generations, Loop, Times (miliseconds), Answer
25,58593360,910,3888
50,64585532,1791,4043
75,73384757,2705,4056
100,84254531,3282,4050
125,97836217,4137,4039
150,114632253,5165,4053
175,133635230,6256,4050
200,154703421,6801,4048
225,178107870,7624,4051
250,204371233,8471,4051
275,232964036,9258,4048
