Generations, Loop, Times (miliseconds), Answer
500,4249460680,6366,9973
1500,4361878638,20130,11322
2500,4549278875,34209,11698
3500,4811644572,48792,12040
4500,5149003795,63738,12396
5500,5561332929,77936,12288
6500,6048646933,92553,12415
7500,6610897125,105935,12343
8500,7248133120,121376,12365
9500,7960310124,134246,12516
10500,8747524372,149530,12456
