Generations, Loop, Times (miliseconds), Answer
500,133331584,323,548
1500,135573101,949,548
2500,139308389,1588,548
3500,144537600,2253,548
4500,151261537,2862,548
5500,159477679,3481,548
6500,169188956,4117,548
7500,180394971,4739,548
8500,193095078,5389,548
9500,207288032,6000,548
10500,222974701,6658,548
