Generations, Loop, Times (miliseconds), Answer
500,2413234464,2792,5785
1500,2458185444,8875,5950
2500,2533124040,14996,6005
3500,2638053039,21102,6117
4500,2772957805,26725,6262
5500,2937852073,33253,6092
6500,3132709623,39381,6189
7500,3357551772,45549,6396
8500,3612394382,50184,6072
9500,3897205387,57743,6200
10500,4211996703,62138,6269
