Generations, Loop, Times (miliseconds), Answer
500,88733207,205,165
1500,89828844,610,165
2500,91656772,1017,165
3500,94214563,1452,165
4500,97503159,1829,165
5500,101522799,2233,165
6500,106272659,2631,165
7500,111755167,3031,165
8500,117967467,3451,165
9500,124910203,3880,165
10500,132584118,4259,165
