Generations, Loop, Times (miliseconds), Answer
500,1041888751,981,2013
1500,1053125705,3075,2008
2500,1071852617,4986,2024
3500,1098072433,6920,2032
4500,1131781384,8722,2041
5500,1172979827,10627,2043
6500,1221666018,12460,2053
7500,1277850980,14391,2040
8500,1341520089,16463,2036
9500,1412685020,18727,2047
10500,1491332645,20625,2041
